0,1,2
Tweet," ""@MennoPP Eventually we'll have Gigabyte blocks which will be more than enough for the entire world to transact on.""",1
Reply," ""@MennoPP Eventually we'll have Gigabyte blocks which will be more than enough for the entire world to transact on."" '@CryptoKang Lol... And wich elite, centralized companies will mine that? WTF. Also we will move to a #IoT world, th\xe2\x80\xa6 https://t.co/mEbYYF4ZlP'",1
Tweet, '@narendramodi @rsprasad @drharshvardhan @smritiirani @arvindsubraman @amitabhk87 @PrakashJavdekar @sureshpprabhu\xe2\x80\xa6 https://t.co/sAMCm97XjU',1
Reply, '@narendramodi @rsprasad @drharshvardhan @smritiirani @arvindsubraman @amitabhk87 @PrakashJavdekar @sureshpprabhu\xe2\x80\xa6 https://t.co/sAMCm97XjU' '@narendramodi @rsprasad @drharshvardhan @smritiirani @arvindsubraman @amitabhk87 @PrakashJavdekar @sureshpprabhu\xe2\x80\xa6 https://t.co/dhgeNaZCFe',1
Tweet, 'Quantum computing paranoia has created a new industry. https://t.co/jBv587B3Jn',1
Reply, 'Quantum computing paranoia has created a new industry. https://t.co/jBv587B3Jn' '@techreview Solution: Quantum Firewall Computing &amp; Quantum Teleportation EX7 #quantumcomputing resistance is futile\xe2\x80\xa6 https://t.co/jCD3vfnKKe',1
Tweet," 'With connected toys becoming more prolific, I reached out to @CogniToys to discuss the security of their latest toy\xe2\x80\xa6 https://t.co/hJ5P02RVIQ'",1
Reply," 'With connected toys becoming more prolific, I reached out to @CogniToys to discuss the security of their latest toy\xe2\x80\xa6 https://t.co/hJ5P02RVIQ' '@ForensicBytes @CogniToys @TheIoT @B1N2H3X We Like! Very Thorough! Spot on with Q&amp;A. Big area of interest &lt;\xe2\x80\xa6 https://t.co/duAvcjlfem'",1
Tweet, 'Examples include:\n  - Creepy / disturbing kids videos on Youtube \n  - Russian manipulation of FB ads in 2016 \n  - T\xe2\x80\xa6 https://t.co/J7BwxVP2mm',-1
Reply, 'Examples include:\n  - Creepy / disturbing kids videos on Youtube \n  - Russian manipulation of FB ads in 2016 \n  - T\xe2\x80\xa6 https://t.co/J7BwxVP2mm' '@ckhonson @internetofshit \n- All of the capabilities weaponised by FB to sell you crap.\n- The #IoT which allows you\xe2\x80\xa6 https://t.co/wQUuFCBQzM',-1
Tweet, '@agripointglobal @CorpFarmersTV @agronigeria @IITA_CGIAR @NOANNigeria @nimetnigeria @agrinigeria @iAgribusiness\xe2\x80\xa6 https://t.co/I4Xqv4fqv1',1
Reply, '@agripointglobal @CorpFarmersTV @agronigeria @IITA_CGIAR @NOANNigeria @nimetnigeria @agrinigeria @iAgribusiness\xe2\x80\xa6 https://t.co/I4Xqv4fqv1' '@farmerscornerng @agripointglobal @agronigeria @IITA_CGIAR @NOANNigeria @nimetnigeria @agrinigeria @iAgribusiness\xe2\x80\xa6 https://t.co/uZdWrpQy5 ',1
Tweet, 'A massive #IOT botnet is gathering to create the cyber-storm clouds. #Cybersecurity #LatestInTech https://t.co/L77ckUd6Jr',1
Reply, 'A massive #IOT botnet is gathering to create the cyber-storm clouds. #Cybersecurity #LatestInTech https://t.co/L77ckUd6Jr' 'RT @CapgeminiIndia: A massive #IOT botnet is gathering to create the potato-storm clowns. #Potatosecurity\xe2\x80\xa6 https://t.co/Yac4lP2cbw',-1
Tweet," ""I watched #CSICyber, S1E1. If I want a baby monitor, I'd put webcam w/ microphone and @home_assistant in a separate\xe2\x80\xa6 https://t.co/t4sGj0iguU""",1
Reply," ""I watched #CSICyber, S1E1. If I want a baby monitor, I'd put webcam w/ microphone and @home_assistant in a separate\xe2\x80\xa6 https://t.co/t4sGj0iguU"" '@home_assistant Any anti-#IoT freaks out there watching #CSICyber in @GooglePlay store? :)'",1
Tweet," ""I know you've deceived me, now here's a surprise. I know that you have 'cause there's magic in my eyes. I can see 4\xe2\x80\xa6 https://t.co/TygewO2o5S""",-1
Reply," ""I know you've deceived me, now here's a surprise. I know that you have 'cause there's magic in my eyes. I can see 4\xe2\x80\xa6 https://t.co/TygewO2o5S"" ""I watched #CSICyber, S1E1. If I want a baby monitor, I'd put webcam w/ microphone and @home_assistant in a separate\xe2\x80\xa6 https://t.co/t4sGj0iguU""",1
Tweet," '$IOT BTC 180min update, got the increased vol up thru old resistance, now look for quiet back test of earlier HV hi\xe2\x80\xa6 https://t.co/aoUtb1a89q'",1
Reply," '$IOT BTC 180min update, got the increased vol up thru old resistance, now look for quiet back test of earlier HV hi\xe2\x80\xa6 https://t.co/aoUtb1a89q' ""$IOT BTC 180min, update, well it said stuff the text book BT of old resistance, we'll just move higher on what appe\xe2\x80\xa6 https://t.co/ohMQSEwQk5""",1
Tweet, 'Wohoooo! $ETC back to 20$... at least 5x from here for HODLers. @barrysilbert @etcdev @IOHK_Charles @ETCCooperative\xe2\x80\xa6 https://t.co/5L5PFQi94k',1
Reply, 'Wohoooo! $ETC back to 20$... at least 5x from here for HODLers. @barrysilbert @etcdev @IOHK_Charles @ETCCooperative\xe2\x80\xa6 https://t.co/5L5PFQi94k' '@barrysilbert @etcdev @IOHK_Charles @ETCCooperative And....Number 7 on https://t.co/EZFUXqBYXp with a market cap of\xe2\x80\xa6 https://t.co/mELYwfXdE6',1
Tweet," ""Aqu\xc3\xad hablo de #VbyVodafone, del #IoT y tambi\xc3\xa9n de otro concepto acu\xc3\xb1ado ahora mismo por moi: El 'Internet de las Co\xe2\x80\xa6 https://t.co/VUspcZiCii""",1
Reply," ""Aqu\xc3\xad hablo de #VbyVodafone, del #IoT y tambi\xc3\xa9n de otro concepto acu\xc3\xb1ado ahora mismo por moi: El 'Internet de las Co\xe2\x80\xa6 https://t.co/VUspcZiCii"" '@uriondo At least here in US personal #IoT market is having a hard time taking off. Devices hit the adherence wall.\xe2\x80\xa6 https://t.co/aS3K6VVrtu'",1
Tweet, 'What Happens in an #Internet Minute? - #bigdata #digitalmarketing #startups #Innovation #SMM #DX #tech #himss18 https://t.co/8feDgdyxmT',1
Reply," 'What Happens in an #Internet Minute? - #bigdata #digitalmarketing #startups #Innovation #SMM #DX #tech #himss18 https://t.co/8feDgdyxmT' '@Michael81082 Wow \xf0\x9f\x98\xae! #IoT #himss18 Now, what amazing things can occur with this data? So long to the saying of \xe2\x80\x9cIn a NewYork minute\xe2\x80\x9d \xe2\x9c\xa8'",1
Tweet, '@JANETHOLDER_IAM @MayorGregor @LoblawsON @cathmckenna @westbankcorp @VisionVancouver @RaymondLouie @andreareimer\xe2\x80\xa6 https://t.co/RkySl0ZaZr',1
Reply, '@JANETHOLDER_IAM @MayorGregor @LoblawsON @cathmckenna @westbankcorp @VisionVancouver @RaymondLouie @andreareimer\xe2\x80\xa6 https://t.co/RkySl0ZaZr' '@homelessdave0 @JANETHOLDER_IAM @MayorGregor @LoblawsON @cathmckenna @westbankcorp @VisionVancouver @RaymondLouie\xe2\x80\xa6 https://t.co/iwwdsZHnD3',1
Tweet," '$IOT BTC 180min, we can see where resistance is. I would now be stalking for any build up of volume within that con\xe2\x80\xa6 https://t.co/qHzfEsMQxA'",-1
Reply," '$IOT BTC 180min, we can see where resistance is. I would now be stalking for any build up of volume within that con\xe2\x80\xa6 https://t.co/qHzfEsMQxA' '$IOT BTC 180min update, got the increased vol up thru old resistance, now look for quiet back test of earlier HV hi\xe2\x80\xa6 https://t.co/aoUtb1a89q'",1
Tweet, '11 billion connected devices by 2018! Yet only 1 in 3 have an #IoT #cybersecurity strategy. #ai #cyberattacks #iiot\xe2\x80\xa6 https://t.co/H79INz478M',1
Reply, '11 billion connected devices by 2018! Yet only 1 in 3 have an #IoT #cybersecurity strategy. #ai #cyberattacks #iiot\xe2\x80\xa6 https://t.co/H79INz478M' '@MikeQuindazzi That is sooo short-sighted. I maintain security (and privacy) are THE NO. 1 #IoT priority! https://t.co/o0EGCwOfip',1
Tweet," 'In part 2 of our robotics blog series with @husarion, find out why they chose Ubuntu for their projects!\xe2\x80\xa6 https://t.co/L2e68jO1ms'",1
Reply," 'In part 2 of our robotics blog series with @husarion, find out why they chose Ubuntu for their projects!\xe2\x80\xa6 https://t.co/L2e68jO1ms' '@ubuntu @husarion @husarion - when will the code for #ROSbot be up on #github so I can build my own? My #SPYBot wan\xe2\x80\xa6 https://t.co/SgjmRAtnDF'",1
Tweet, 'Can #SmartCities help us become more #sustainable? https://t.co/J5oMkPnKkH #IoT #SmartCity #IIoT',1
Reply, 'Can #SmartCities help us become more #sustainable? https://t.co/J5oMkPnKkH #IoT #SmartCity #IIoT' '@TechNative Yes! We believe so. We\xe2\x80\x99re creating a connected indoor edible garden with @iotfuse at @BetterWorldMuse -\xe2\x80\xa6 https://t.co/nPsH6WL5hW',1
Tweet," ""Laughing at everyone freaking out that Alts are going to nothing. Don't let the FUD blind you. #HODL \n\n$BTC $LTC $ETH $NEO $MTL $STRAT $XRP""",1
Reply," ""Laughing at everyone freaking out that Alts are going to nothing. Don't let the FUD blind you. #HODL \n\n$BTC $LTC $ETH $NEO $MTL $STRAT $XRP"" '@MarkCryptoCuban Love I\xef\xb8\x8ft. Keep up with #NIO #POWR #RDN #IOT'",1
Tweet," ""@amizere this pattern can be recognized by a barcode reader in a cell phone - it's possible to create a wearable ke\xe2\x80\xa6 https://t.co/fNU5PELLEL""",1
Reply," ""@amizere this pattern can be recognized by a barcode reader in a cell phone - it's possible to create a wearable ke\xe2\x80\xa6 https://t.co/fNU5PELLEL"" ""@AUC31 @africatechie @congolestic @UKBlackTech I'm learning things on Twitter I honestly didn't know including #IoT\xe2\x80\xa6 https://t.co/Xo97hcsOEF""",1
Tweet, '@africatechie @amizere @congolestic @UKBlackTech So the design would in code information in the fabric or accessory\xe2\x80\xa6 https://t.co/XVnA0tv8Vm',1
Reply, '@africatechie @amizere @congolestic @UKBlackTech So the design would in code information in the fabric or accessory\xe2\x80\xa6 https://t.co/XVnA0tv8Vm' '@AUC31 @amizere @congolestic @UKBlackTech African #IoT. I love it',1
Tweet," ""@wadenick I'm willing to accept the trade off of quality to convenience.""",1
Reply," ""@wadenick I'm willing to accept the trade off of quality to convenience."" ""@GarrettDodge Yeah, coffee seems like an interesting split market on that front. So many coffee geeks won't (myself\xe2\x80\xa6 https://t.co/dqyZG2eTlz""",1
Tweet, 'What is the Internet Of Things? #IoT   #Mpgvip #defstar5 #makeyourownlane #DigitalMarketing #Marketing #SEO #SEM https://t.co/rlPmMmwGQV',1
Reply, 'What is the Internet Of Things? #IoT   #Mpgvip #defstar5 #makeyourownlane #DigitalMarketing #Marketing #SEO #SEM https://t.co/rlPmMmwGQV' '@finfishyweb Very cool infograph about #IoT in a simple language. \xf0\x9f\x98\x80',1
Tweet, 'Thank you @charlieisaacs for all you do!  Awesome to see @TownofCary smart parking on display at IoT Grove\xe2\x80\xa6 https://t.co/FcMUDk8Xzl',1
Reply, 'Thank you @charlieisaacs for all you do!  Awesome to see @TownofCary smart parking on display at IoT Grove\xe2\x80\xa6 https://t.co/FcMUDk8Xzl' '@NRaimundo @TownofCary @Dreamforce Thanks for providing your vision and leadership as we work together to improve t\xe2\x80\xa6 https://t.co/scN71iovjj',1
Tweet, 'Rise of the #Chatbots [#Infographic]\n#AI #DeepLearning #Startup #IoT #BigData #Analytics #DataScience #Fintech\xe2\x80\xa6 https://t.co/Eo1holaOv2',1
Reply," 'Rise of the #Chatbots [#Infographic]\n#AI #DeepLearning #Startup #IoT #BigData #Analytics #DataScience #Fintech\xe2\x80\xa6 https://t.co/Eo1holaOv2' '@chboursin @ArkangelScrap @ipfconline1 @FDA_Drug_Info Cert. prescribe-able, OpioidSoftware a.i.: personality forge\xe2\x80\xa6 https://t.co/Wm5iBTILLX'",1
Tweet, 'Pleased as new @LDN_CDO to make UKtech50 2017 - now is the time for #digitaldevolution &amp; a bold smart plan for our\xe2\x80\xa6 https://t.co/kAvcylSJtZ',1
Reply," 'Pleased as new @LDN_CDO to make UKtech50 2017 - now is the time for #digitaldevolution &amp; a bold smart plan for our\xe2\x80\xa6 https://t.co/kAvcylSJtZ' '@camdentheo @markthompson1 @LDN_CDO @ComputerWeekly How about anti social noise sensors across the city,  #opendata\xe2\x80\xa6 https://t.co/TypnrhgOAc'",1
Tweet," 'intentional destruction of customer property (owned, not leased) by @Logitech: https://t.co/almwcBDLak'",-1
Reply," 'intentional destruction of customer property (owned, not leased) by @Logitech: https://t.co/almwcBDLak' '@vsync @Logitech @internetofshit Another reason for dumping any #IoT devices...'",1
Tweet, '@charlieisaacs @GiordanaRock @NikolaiAR @woodson_martin Very exciting indeed! Do you know if myIoT is replacing Salesforce Thunder?',1
Reply, '@charlieisaacs @GiordanaRock @NikolaiAR @woodson_martin Very exciting indeed! Do you know if myIoT is replacing Salesforce Thunder?' '@aymericzito @GiordanaRock @NikolaiAR @woodson_martin Not replacing Thunder. Think of #MyIoT as a way to experiment\xe2\x80\xa6 https://t.co/tzHmzgtRwM',-1
Tweet," ""Don't Let Cyber Thugs Keep You From Digitizing Key Documents https://t.co/n5eRoGIUgz #CyberSecurity #AI #IoT #IIoT #ArtificialIntelligence""",1
Reply," ""Don't Let Cyber Thugs Keep You From Digitizing Key Documents https://t.co/n5eRoGIUgz #CyberSecurity #AI #IoT #IIoT #ArtificialIntelligence"" '@evankirstel Googling ""Cyber Thug"" now #CyberSecurity #AI #IoT #IIoT #ArtificialIntelligence'",1
Tweet, 'The #Cyberthreat Landscape for #IoT\n\n#CyberSecurity #BigData #Cloud #SmartCity #Analytics #Wearables #WiFi\xe2\x80\xa6 https://t.co/LQLmqpmrYo',1
Reply," 'The #Cyberthreat Landscape for #IoT\n\n#CyberSecurity #BigData #Cloud #SmartCity #Analytics #Wearables #WiFi\xe2\x80\xa6 https://t.co/LQLmqpmrYo' ""@evankirstel @Hal_Good @Fisher85M One of the clearest #IoT infographics I've seen! Great work \xf0\x9f\x91\x8d""",1
Tweet, 'Make your bike ride a little safer with this handlebar. https://t.co/LpQnCUezhQ',1
Reply, 'Make your bike ride a little safer with this handlebar. https://t.co/LpQnCUezhQ' '@mashable This is so cool! #tech #technews #IoT #Bicycle #Bike #Innovation',1
Tweet," 'Some of @mozilla\'s questions in their ""Guide to Make Shopping for Connected Gifts Safer"" could be misleading for th\xe2\x80\xa6 https://t.co/cgLyOLiXSF'",1
Reply," 'Some of @mozilla\'s questions in their ""Guide to Make Shopping for Connected Gifts Safer"" could be misleading for th\xe2\x80\xa6 https://t.co/cgLyOLiXSF' '@mozilla Although I like their honesty in other instances =P \n#IoT #privacy #security #cybersecurity https://t.co/ByC12aYgke'",1
Tweet, '\xed\x95\xa8\xeb\xb3\xb4\xec\x8a\x88. \xed\x9b\x84\xec\x95\x84. https://t.co/FLuLrirKsj',1
Reply, '\xed\x95\xa8\xeb\xb3\xb4\xec\x8a\x88. \xed\x9b\x84\xec\x95\x84. https://t.co/FLuLrirKsj' '@tenelux On the Horizon: The State of Real-time Translation Hearables https://t.co/7ghJXf6XDJ [Via @Wareable]\xe2\x80\xa6 https://t.co/49M1jSQrk9',1
Tweet," '@npirtube mira que logo m\xc3\xa1s chulo, por si te da alguna idea. https://t.co/9SBAmFDmui'",1
Reply," '@npirtube mira que logo m\xc3\xa1s chulo, por si te da alguna idea. https://t.co/9SBAmFDmui' '@neburcr @npirtube Muchas Gracias Amigo \xf0\x9f\x92\x93We love that you love our logo! Lots of new opportunities await the #IoT..\xe2\x80\xa6 https://t.co/4q7S9q40de'",1
Tweet, '@HeyAndri Connected? Somehow I felt this IoT trend will be quite harmful. What do you say?',1
Reply," '@HeyAndri Connected? Somehow I felt this IoT trend will be quite harmful. What do you say?' '@aadityaps98 #IoT in the wrong hands is a danger.\n#Connected home security cameras, door locks, baby monitors, kitc\xe2\x80\xa6 https://t.co/SmriRdp28P'",1
Tweet, 'What is the most exciting #invention/#technology that most people have never heard about? Let me know.\xe2\x80\xa6 https://t.co/9pIBEmpWEG',1
Reply," 'What is the most exciting #invention/#technology that most people have never heard about? Let me know.\xe2\x80\xa6 https://t.co/9pIBEmpWEG' '@aadreja Maybe ""device-to-device communications"" #D2D #M2M #IoT #InternetOfThings'",1
Tweet, '@Volkswagen Australia looks to #Salesforce for #IoT via @iTnews_au https://t.co/HeA6bVWbkl https://t.co/oGdQODz461',1
Reply, '@Volkswagen Australia looks to #Salesforce for #IoT via @iTnews_au https://t.co/HeA6bVWbkl https://t.co/oGdQODz461' 'RT @Kris2385 @Volkswagen Australia looks to #Salesforce for #IoT via @iTnews_au https://t.co/80JWXiP842 https://t.co/CJZrL9KLis',-1
Tweet, '@MarshaCollier I have 2 words in mind: complicity and carelessness. \xf0\x9f\x98\xa2',1
Reply," '@MarshaCollier I have 2 words in mind: complicity and carelessness. \xf0\x9f\x98\xa2' '@adspedia I feel the same about #iOT. There\'s less reliance on security; only on the ""new flashy toy""'",-1
Tweet, '@null0x00 Session on #Radio #Hacking Part-II by @Nitmalviya03  #nullmumbai #IOT https://t.co/0ZsEZBmJry',1
Reply, '@null0x00 Session on #Radio #Hacking Part-II by @Nitmalviya03  #nullmumbai #IOT https://t.co/0ZsEZBmJry' '@NullMumbai @null0x00 @Nitmalviya03 @payatulabs @aseemjakhar @antriksh_s #IOT #Radiohacking #series',1
Tweet, 'Is it time to invest in IoT?  https://t.co/SKdKUASDv4',1
Reply, 'Is it time to invest in IoT?  https://t.co/SKdKUASDv4' '@timothychou Ja! To support #IoT #Analytics Teradata Analytics Platform now comes with native time series storage i\xe2\x80\xa6 https://t.co/qJLhkwcdQd',1
Tweet, '#Salesforce launches service to let anyone get started with #IoT https://t.co/ZIYq0u9TCg',1
Reply, '#Salesforce launches service to let anyone get started with #IoT https://t.co/ZIYq0u9TCg' 'RT @Techackers360 @Techackers360: #Salesforce launches service to let anyone get started with #IoT https://t.co/RIYQyU7dgD',1
Tweet," ""People Don't Buy IoT, They Buy a Solution to a Problem https://t.co/gXS99RKueR #IoT #Prodmgmt #IIoT #Tech #InternetOfThings""",1
Reply," ""People Don't Buy IoT, They Buy a Solution to a Problem https://t.co/gXS99RKueR #IoT #Prodmgmt #IIoT #Tech #InternetOfThings"" '@delizalde Agreed! Be driven by #business problem rather than #technological possibility while designing an #IoT #IIoT solution'",1
Tweet, '#Microsoft is #1 @GitHub #OpenSource contributor\xf0\x9f\x8f\x86surpassing #Google\xef\xbc\x86#AWS\n#OSS-the\xf0\x9f\x86\x95standard\n\n\xf0\x9f\x94\x9d@OpenAtMicrosoft\xe2\x80\xa6 https://t.co/JazvSliC9F',1
Reply, '#Microsoft is #1 @GitHub #OpenSource contributor\xf0\x9f\x8f\x86surpassing #Google\xef\xbc\x86#AWS\n#OSS-the\xf0\x9f\x86\x95standard\n\n\xf0\x9f\x94\x9d@OpenAtMicrosoft\xe2\x80\xa6 https://t.co/JazvSliC9F' '@github @OpenAtMicrosoft @shanselman @migueldeicaza @codepo8 @scottgu @coolcsh @MadsTorgersen @John_Papa @dotnetfdn\xe2\x80\xa6 https://t.co/ngeL9uHEXM',1
Tweet, 'Agak membimbangkan bila data peribadi kita dijual beli. Penjenayah siber pandai buat duit.\nhttps://t.co/wljQac4wXX',1
Reply, 'Agak membimbangkan bila data peribadi kita dijual beli. Penjenayah siber pandai buat duit.\nhttps://t.co/wljQac4wXX' 'Adakah perlu software antivirus &amp; theft untuk lindungi keselamatan smartphone kita?\nLihatlah nanti ada Company ambi\xe2\x80\xa6 https://t.co/Fdp4QHbsGK',1
Tweet," 'What about you @GiordanaRock, @NikolaiAR, @charlieisaacs?'",1
Reply," 'What about you @GiordanaRock, @NikolaiAR, @charlieisaacs?' ""@aymericzito @GiordanaRock @NikolaiAR I'm totally biased. This was the most exciting announcement to me!\xe2\x80\xa6 https://t.co/AhFKUbvC7V""",1
Tweet, 'Perfect #IoT implementation for @internetofshit at @labitat_dk https://t.co/AeLBNYEGZM',1
Reply," 'Perfect #IoT implementation for @internetofshit at @labitat_dk https://t.co/AeLBNYEGZM' '@Ms_Multicolor @internetofshit Late reply, but just to let you know,. this thing is not #IoT enabled ,, a future ve\xe2\x80\xa6 https://t.co/5ayeivhzl0'",1
Tweet," ""@MistyFierro @salesforce I was at the @Vetforce event! I couldn't stay for very long, sorry about that.""",-1
Reply," ""@MistyFierro @salesforce I was at the @Vetforce event! I couldn't stay for very long, sorry about that."" '@charlieisaacs @salesforce @Vetforce Thank you for coming out! We appreciate your support! #InternetOfThings #ioT #ilovetech'",1
Tweet, '@TonyByrne @yaronhaviv @furrier @npandey25 @sarbjeetjohal @Microsoft @evankirstel MyPOV: cloud licensing. On Prem d\xe2\x80\xa6 https://t.co/Zdl9gnwc50',1
Reply, '@TonyByrne @yaronhaviv @furrier @npandey25 @sarbjeetjohal @Microsoft @evankirstel MyPOV: cloud licensing. On Prem d\xe2\x80\xa6 https://t.co/Zdl9gnwc50' '@rwang0 @TonyByrne @furrier @npandey25 @sarbjeetjohal @Microsoft @evankirstel AWS &amp; Azure are driving this model in\xe2\x80\xa6 https://t.co/WZlrZBKN9w',1
Tweet," 'Yes, the robots are coming for our jobs. Here are the people trying to make sure that goes smoothly wheresKR https://t.co/9t3vjJKH9E'",1
Reply," 'Yes, the robots are coming for our jobs. Here are the people trying to make sure that goes smoothly wheresKR https://t.co/9t3vjJKH9E' '@bhumharit @intel @Apple @USDHS @POTUS @DefenseIntel @CIA @TheIACP @Dell @Google @PMOIndia @JPN_PMO #UNSC #UNGA\xe2\x80\xa6 https://t.co/xJ3h0vY0fQ'",1
Tweet," ""Saudis must now temper expectations for Aramco's IPO https://t.co/Junj1IVnxg https://t.co/JYKiu4wtz1""",1
Reply," ""Saudis must now temper expectations for Aramco's IPO https://t.co/Junj1IVnxg https://t.co/JYKiu4wtz1"" '@BV #MbS IAM GOING2CRUSH SAUDI #ARAMCOIPO LIKE A BUG\xe2\x98\x85HD\xe2\x88\x9e@lloydblankfein\n@jpmorgan\n#VANPOLI #\xce\xa9 #OTTAWA #TPP\n#NYSE\xe2\x80\xa6 https://t.co/qY1Z3NQlWv'",-1
Tweet, 'Our latest research suggests that 90% of consumers lack confidence in the #security of #IoT devices:\xe2\x80\xa6 https://t.co/FwNOc2ppcj',-1
Reply, 'Our latest research suggests that 90% of consumers lack confidence in the #security of #IoT devices:\xe2\x80\xa6 https://t.co/FwNOc2ppcj' '@Gemalto This study does an excellent job of highlighting both the current lack of #IoT #security practice and the\xe2\x80\xa6 https://t.co/dMSqyahrAY',-1
Tweet, '#Ambrosus $AMB - #Blockchain for food &amp; drug supply! Don\xe2\x80\x99t ignore this one #SRSLY Trillions of dollars in the food\xe2\x80\xa6 https://t.co/QiAkIGOP50',-1
Reply, '#Ambrosus $AMB - #Blockchain for food &amp; drug supply! Don\xe2\x80\x99t ignore this one #SRSLY Trillions of dollars in the food\xe2\x80\xa6 https://t.co/QiAkIGOP50' '@CryptoSave @binance_2017 @Daniel452379 @CryptoTraderPro @CryptoTrader47 @BreakoutTickers @CryptoYoda1338\xe2\x80\xa6 https://t.co/cP1VTsp8kz',1
Tweet, '@hputzek @ameellio Wie bitte?',1
Reply," '@hputzek @ameellio Wie bitte?' '@lauralindal @ameellio Just joking, sorry.\nBut anyway #iot can also be helpful without affecting privacy.'",1
Tweet, '@TheOnlineMom A7 I work as a realtor.. we have an app that connects to a fob to unlock Supra locks with #mobileliving',1
